#Gene	chrom	start	end	Pathogenic_Lower_Bound	Motif
GeneID,PathogenicLowerBound,Motif,SimulatedSize,STR_Tool,Rank,Zscore||Pval
GLE1,200,ATCT,200,EHDN_Locus,3,43.940
GLE1,200,ATCT,200,EHDN_Motif,34,2.270
GLE1,200,ATCT,200,STRetch,1,6.4e-47
MDM2,200,GTTT,200,EHDN_Locus,8,33.230
MDM2,200,GTTT,200,EHDN_Motif,2,23.580
MDM2,200,GTTT,200,STRetch,1,4.2e-45
RFT1,200,AC,200,EHDN_Locus,7,33.230
RFT1,200,AC,200,EHDN_Motif,24,3.200
RFT1,200,AC,200,STRetch,1,3.5e-41
CD151,200,CGGGG,200,EHDN_Locus,9,32.150
CD151,200,CGGGG,200,EHDN_Motif,1,33.230
CD151,200,CGGGG,200,STRetch,1,1.8e-40
SMPD1,200,CGCTGG,200,EHDN_Locus,3,40.730
SMPD1,200,CGCTGG,200,EHDN_Motif,1,49.300
SMPD1,200,CGCTGG,200,STRetch,1,4.2e-45
ARL3,200,CCT,200,EHDN_Locus,3,42.870
ARL3,200,CCT,200,EHDN_Motif,0,0.000
ARL3,200,CCT,200,STRetch,0,.
CEP135,200,AAAAAC,200,EHDN_Locus,3,35.370
CEP135,200,AAAAAC,200,EHDN_Motif,1,46.090
CEP135,200,AAAAAC,200,STRetch,1,6.4e-47
SLC1A4,200,GTTT,200,EHDN_Locus,10,28.940
SLC1A4,200,GTTT,200,EHDN_Motif,2,21.440
SLC1A4,200,GTTT,200,STRetch,0,.
BSCL2,200,GT,200,EHDN_Locus,8,33.230
BSCL2,200,GT,200,EHDN_Motif,19,4.220
BSCL2,200,GT,200,STRetch,1,3.5e-41
ALOX5,200,CGGGGG,200,EHDN_Locus,2,51.450
ALOX5,200,CGGGGG,200,EHDN_Motif,1,43.940
ALOX5,200,CGGGGG,200,STRetch,1,5.4e-50
FRA10AC1,200,CCG,200,EHDN_Locus,1,85.750
FRA10AC1,200,CCG,200,EHDN_Motif,2,24.690
FRA10AC1,200,CCG,200,STRetch,1,2.9e-57
TUBB4B,200,CCG,200,EHDN_Locus,3,40.730
TUBB4B,200,CCG,200,EHDN_Motif,8,9.730
TUBB4B,200,CCG,200,STRetch,0,.
PAH,200,AGC,200,EHDN_Locus,3,42.870
PAH,200,AGC,200,EHDN_Motif,14,5.370
PAH,200,AGC,200,STRetch,1,1.7e-47
